"","NAME","pop14","pop19","pct_change","pop_change","GEOID","county_fips"
"1","DuPage County, Illinois",926485,929060,0.0028,2575,"17043","043"
"2","Lake County, Illinois",703170,701473,-0.0024,-1697,"17097","097"
"3","Will County, Illinois",682108,689315,0.0106,7207,"17197","197"
"4","Kane County, Illinois",521874,531376,0.0182,9502,"17089","089"
"5","McHenry County, Illinois",307888,307714,-6e-04,-174,"17111","111"
"6","Winnebago County, Illinois",292026,284819,-0.0247,-7207,"17201","201"
"7","St. Clair County, Illinois",268415,262338,-0.0226,-6077,"17163","163"
"8","Madison County, Illinois",267937,264776,-0.0118,-3161,"17119","119"
"9","Champaign County, Illinois",204214,209922,0.028,5708,"17019","019"
"10","Sangamon County, Illinois",198808,196861,-0.0098,-1947,"17167","167"
"11","Peoria County, Illinois",187197,182770,-0.0236,-4427,"17143","143"
"12","McLean County, Illinois",172390,172578,0.0011,188,"17113","113"
"13","Rock Island County, Illinois",146964,143873,-0.021,-3091,"17161","161"
"14","Tazewell County, Illinois",135872,133195,-0.0197,-2677,"17179","179"
"15","Kendall County, Illinois",118194,126054,0.0665,7860,"17093","093"
"16","LaSalle County, Illinois",112698,109737,-0.0263,-2961,"17099","099"
"17","Kankakee County, Illinois",112682,110637,-0.0181,-2045,"17091","091"
"18","Macon County, Illinois",109833,105528,-0.0392,-4305,"17115","115"
"19","DeKalb County, Illinois",104919,104366,-0.0053,-553,"17037","037"
"20","Vermilion County, Illinois",80773,77563,-0.0397,-3210,"17183","183"
"21","Adams County, Illinois",67113,66085,-0.0153,-1028,"17001","001"
"22","Williamson County, Illinois",66808,67102,0.0044,294,"17199","199"
"23","Jackson County, Illinois",60125,57977,-0.0357,-2148,"17077","077"
"24","Whiteside County, Illinois",57680,56016,-0.0288,-1664,"17195","195"
"25","Boone County, Illinois",54005,53537,-0.0087,-468,"17007","007"
"26","Coles County, Illinois",53655,51353,-0.0429,-2302,"17029","029"
"27","Ogle County, Illinois",52782,51025,-0.0333,-1757,"17141","141"
"28","Knox County, Illinois",52447,50508,-0.037,-1939,"17095","095"
"29","Grundy County, Illinois",50173,50666,0.0098,493,"17063","063"
"30","Henry County, Illinois",50031,49267,-0.0153,-764,"17073","073"
"31","Macoupin County, Illinois",47229,45463,-0.0374,-1766,"17117","117"
"32","Stephenson County, Illinois",47053,45093,-0.0417,-1960,"17177","177"
"33","Franklin County, Illinois",39774,38923,-0.0214,-851,"17055","055"
"34","Woodford County, Illinois",38965,38700,-0.0068,-265,"17203","203"
"35","Marion County, Illinois",38922,37743,-0.0303,-1179,"17121","121"
"36","Jefferson County, Illinois",38716,37985,-0.0189,-731,"17081","081"
"37","Livingston County, Illinois",38476,36040,-0.0633,-2436,"17105","105"
"38","Clinton County, Illinois",37952,37634,-0.0084,-318,"17027","027"
"39","Fulton County, Illinois",36616,35092,-0.0416,-1524,"17057","057"
"40","Morgan County, Illinois",35272,34247,-0.0291,-1025,"17137","137"
"41","Lee County, Illinois",35248,34389,-0.0244,-859,"17103","103"
"42","Christian County, Illinois",34415,32931,-0.0431,-1484,"17021","021"
"43","Bureau County, Illinois",34361,33122,-0.0361,-1239,"17011","011"
"44","Effingham County, Illinois",34280,34137,-0.0042,-143,"17049","049"
"45","Monroe County, Illinois",33373,34168,0.0238,795,"17133","133"
"46","Randolph County, Illinois",33091,32295,-0.0241,-796,"17157","157"
"47","McDonough County, Illinois",32388,30479,-0.0589,-1909,"17109","109"
"48","Logan County, Illinois",30047,29003,-0.0347,-1044,"17107","107"
"49","Montgomery County, Illinois",29740,28828,-0.0307,-912,"17135","135"
"50","Iroquois County, Illinois",29272,27812,-0.0499,-1460,"17075","075"
"51","Saline County, Illinois",24876,23994,-0.0355,-882,"17165","165"
"52","Jersey County, Illinois",22751,21937,-0.0358,-814,"17083","083"
"53","Jo Daviess County, Illinois",22427,21588,-0.0374,-839,"17085","085"
"54","Shelby County, Illinois",22216,21737,-0.0216,-479,"17173","173"
"55","Fayette County, Illinois",22041,21565,-0.0216,-476,"17051","051"
"56","Perry County, Illinois",22034,21251,-0.0355,-783,"17145","145"
"57","Douglas County, Illinois",19867,19623,-0.0123,-244,"17041","041"
"58","Crawford County, Illinois",19626,18972,-0.0333,-654,"17033","033"
"59","Hancock County, Illinois",18808,17983,-0.0439,-825,"17067","067"
"60","Edgar County, Illinois",18171,17407,-0.042,-764,"17045","045"
"61","Warren County, Illinois",17784,17146,-0.0359,-638,"17187","187"
"62","Union County, Illinois",17620,16968,-0.037,-652,"17181","181"
"63","Bond County, Illinois",17571,16589,-0.0559,-982,"17005","005"
"64","Lawrence County, Illinois",16726,16033,-0.0414,-693,"17101","101"
"65","Wayne County, Illinois",16627,16402,-0.0135,-225,"17191","191"
"66","Piatt County, Illinois",16552,16401,-0.0091,-151,"17147","147"
"67","De Witt County, Illinois",16461,15932,-0.0321,-529,"17039","039"
"68","Pike County, Illinois",16244,15672,-0.0352,-572,"17149","149"
"69","Clark County, Illinois",16240,15716,-0.0323,-524,"17023","023"
"70","Mercer County, Illinois",16204,15589,-0.038,-615,"17131","131"
"71","Richland County, Illinois",16144,15766,-0.0234,-378,"17159","159"
"72","Massac County, Illinois",15148,14219,-0.0613,-929,"17127","127"
"73","Carroll County, Illinois",15027,14466,-0.0373,-561,"17015","015"
"74","Moultrie County, Illinois",14896,14641,-0.0171,-255,"17139","139"
"75","White County, Illinois",14549,13868,-0.0468,-681,"17193","193"
"76","Washington County, Illinois",14527,14058,-0.0323,-469,"17189","189"
"77","Mason County, Illinois",14309,13621,-0.0481,-688,"17125","125"
"78","Ford County, Illinois",13906,13270,-0.0457,-636,"17053","053"
"79","Greene County, Illinois",13677,13132,-0.0398,-545,"17061","061"
"80","Clay County, Illinois",13675,13287,-0.0284,-388,"17025","025"
"81","Cass County, Illinois",13440,12493,-0.0705,-947,"17017","017"
"82","Menard County, Illinois",12658,12306,-0.0278,-352,"17129","129"
"83","Johnson County, Illinois",12650,12494,-0.0123,-156,"17087","087"
"84","Marshall County, Illinois",12319,11679,-0.052,-640,"17123","123"
"85","Wabash County, Illinois",11730,11546,-0.0157,-184,"17185","185"
"86","Cumberland County, Illinois",10950,10836,-0.0104,-114,"17035","035"
"87","Jasper County, Illinois",9658,9594,-0.0066,-64,"17079","079"
"88","Hamilton County, Illinois",8371,8176,-0.0233,-195,"17065","065"
"89","Alexander County, Illinois",7821,6260,-0.1996,-1561,"17003","003"
"90","Schuyler County, Illinois",7454,6953,-0.0672,-501,"17169","169"
"91","Henderson County, Illinois",7074,6809,-0.0375,-265,"17071","071"
"92","Brown County, Illinois",6878,6628,-0.0363,-250,"17009","009"
"93","Edwards County, Illinois",6687,6455,-0.0347,-232,"17047","047"
"94","Pulaski County, Illinois",5967,5510,-0.0766,-457,"17153","153"
"95","Putnam County, Illinois",5895,5721,-0.0295,-174,"17155","155"
"96","Stark County, Illinois",5888,5447,-0.0749,-441,"17175","175"
"97","Gallatin County, Illinois",5439,5064,-0.0689,-375,"17059","059"
"98","Scott County, Illinois",5260,5005,-0.0485,-255,"17171","171"
"99","Calhoun County, Illinois",5033,4830,-0.0403,-203,"17013","013"
"100","Pope County, Illinois",4362,4203,-0.0365,-159,"17151","151"
"101","Hardin County, Illinois",4226,3939,-0.0679,-287,"17069","069"
"102","Suburban Cook County",2515219,2488741,-0.0105,-26478,"17031","031"
"103","Chicago",2712608,2709534,-0.0011,-3074,"1714000","14000"
