"","name","pop10","pop20","pop_change","pct_change","rank"
"1","Utah",2763885,3249879,485994,"17.58%",1
"2","Texas",25145561,29360759,4215198,"16.76%",2
"3","Idaho",1567582,1826913,259331,"16.54%",3
"4","Nevada",2700551,3138259,437708,"16.21%",4
"5","Arizona",6392017,7421401,1029384,"16.10%",5
"6","Florida",18801310,21733312,2932002,"15.59%",6
"7","Colorado",5029196,5807719,778523,"15.48%",7
"8","Washington",6724540,7693612,969072,"14.41%",8
"9","North Dakota",672591,765309,92718,"13.79%",9
"10","South Carolina",4625364,5218040,592676,"12.81%",10
"11","New Jersey",8791894,8882371,90477," 1.03%",41
"12","Michigan",9883640,9966555,82915," 0.84%",42
"13","Pennsylvania",12702379,12783254,80875," 0.64%",43
"14","Rhode Island",1052567,1057125,4558," 0.43%",44
"15","Mississippi",2967297,2966786,-511,"-0.02%",45
"16","New York",19378102,19336776,-41326,"-0.21%",46
"17","Vermont",625741,623347,-2394,"-0.38%",47
"18","Connecticut",3574097,3557006,-17091,"-0.48%",48
"19","Illinois",12830632,12587530,-243102,"-1.89%",49
"20","West Virginia",1852994,1784787,-68207,"-3.68%",50
